ano,regiao,uf,nome_municipio,localizacao,depend_administrativa,percent_fundamental_nivel1,percent_fundamental_nivel2,percent_fundamental_nivel3,percent_fundamental_nivel4,percent_fundamental_nivel5,percent_fundamental_nivel6,percent_medio_nivel1,percent_medio_nivel2,percent_medio_nivel3,percent_medio_nivel4,percent_medio_nivel5,percent_medio_nivel6
2021,Norte,RO,Ji-Paraná,Rural,Estadual,48.5,3.2,16.1,16.1,16.1,0.0,0.0,0.0,0.0,50.0,50.0,0.0
2021,Norte,RO,Ji-Paraná,Urbana,Municipal,45.6,35.8,11.3,5.3,0.7,1.3,,,,,,
2021,Norte,RO,Ji-Paraná,Rural,Municipal,34.6,30.7,10.7,14.7,4.0,5.3,,,,,,
2021,Norte,RO,Ji-Paraná,Urbana,Privada,7.7,14.6,38.8,27.2,7.8,3.9,0.0,11.8,29.4,43.1,11.8,3.9
2021,Norte,RO,Ji-Paraná,Rural,Privada,,,,,,,0.0,33.3,50.0,0.0,16.7,0.0
2021,Norte,RO,Ji-Paraná,Urbana,Publica,25.9,21.1,16.2,26.7,6.6,3.5,0.3,8.2,27.7,43.1,13.8,6.9
2021,Norte,RO,Ji-Paraná,Rural,Publica,38.7,22.6,12.3,15.1,7.5,3.8,0.0,0.0,0.0,50.0,50.0,0.0
2021,Norte,RO,Machadinho D'Oeste,Urbana,Estadual,0.0,0.0,47.2,44.4,5.6,2.8,4.2,0.0,2.8,76.1,12.7,4.2
2021,Norte,RO,Machadinho D'Oeste,Rural,Estadual,0.0,0.0,0.0,100.0,0.0,0.0,2.5,2.5,0.0,80.0,10.0,5.0
2021,Norte,RO,Machadinho D'Oeste,Urbana,Municipal,40.5,8.1,45.9,1.4,2.7,1.4,,,,,,
2021,Norte,RO,Machadinho D'Oeste,Rural,Municipal,61.4,14.0,22.8,1.8,0.0,0.0,,,,,,
2021,Norte,RO,Machadinho D'Oeste,Urbana,Privada,16.6,0.0,22.2,55.6,0.0,5.6,8.4,0.0,8.3,66.7,8.3,8.3
2021,Norte,RO,Machadinho D'Oeste,Urbana,Publica,20.8,4.2,47.2,22.2,4.2,1.4,4.2,0.0,2.8,76.1,12.7,4.2
2021,Norte,RO,Machadinho D'Oeste,Rural,Publica,50.0,11.4,18.6,20.0,0.0,0.0,2.5,2.5,0.0,80.0,10.0,5.0
2021,Norte,RO,Nova Brasilândia D'Oeste,Urbana,Estadual,0.0,0.0,47.9,26.1,13.0,13.0,0.0,0.0,13.1,47.8,26.1,13.0
2021,Norte,RO,Nova Brasilândia D'Oeste,Urbana,Municipal,28.9,8.9,24.4,28.9,6.7,2.2,,,,,,
2021,Norte,RO,Nova Brasilândia D'Oeste,Rural,Municipal,38.1,0.0,21.4,31.0,7.1,2.4,,,,,,
2021,Norte,RO,Nova Brasilândia D'Oeste,Urbana,Publica,19.6,6.1,33.3,27.3,7.6,6.1,0.0,0.0,13.1,47.8,26.1,13.0
2021,Norte,RO,Nova Brasilândia D'Oeste,Rural,Publica,38.1,0.0,21.4,31.0,7.1,2.4,,,,,,
2021,Norte,RO,Ouro Preto do Oeste,Urbana,Estadual,0.0,6.3,36.7,45.6,8.9,2.5,0.0,0.0,14.8,74.1,7.4,3.7
2021,Norte,RO,Ouro Preto do Oeste,Urbana,Municipal,40.4,41.7,11.9,3.6,1.2,1.2,,,,,,
2021,Norte,RO,Ouro Preto do Oeste,Rural,Municipal,53.4,13.3,20.0,13.3,0.0,0.0,,,,,,
2021,Norte,RO,Ouro Preto do Oeste,Urbana,Privada,48.0,4.0,32.0,16.0,0.0,0.0,9.1,0.0,54.5,36.4,0.0,0.0
2021,Norte,RO,Ouro Preto do Oeste,Urbana,Publica,21.3,24.8,24.2,24.2,4.3,1.2,0.0,0.0,14.8,74.1,7.4,3.7
2021,Norte,RO,Ouro Preto do Oeste,Rural,Publica,53.4,13.3,20.0,13.3,0.0,0.0,,,,,,
2021,Norte,RO,Pimenta Bueno,Urbana,Estadual,3.2,10.3,27.8,39.2,11.3,8.2,0.0,3.9,18.4,49.5,16.5,11.7
2021,Norte,RO,Pimenta Bueno,Rural,Estadual,,,,,,,0.0,0.0,53.3,40.0,6.7,0.0
2021,Norte,RO,Pimenta Bueno,Urbana,Municipal,32.4,35.4,13.5,12.5,1.0,5.2,,,,,,
2021,Norte,RO,Pimenta Bueno,Rural,Municipal,30.2,30.3,9.1,18.2,6.1,6.1,,,,,,
2021,Norte,RO,Pimenta Bueno,Urbana,Privada,23.0,7.7,7.7,46.2,7.7,7.7,0.0,0.0,16.6,50.0,16.7,16.7
2021,Norte,RO,Pimenta Bueno,Urbana,Publica,18.2,23.5,21.4,26.2,5.9,4.8,0.0,3.9,18.4,49.5,16.5,11.7
2021,Norte,RO,Pimenta Bueno,Rural,Publica,30.2,30.3,9.1,18.2,6.1,6.1,0.0,0.0,53.3,40.0,6.7,0.0
2021,Norte,RO,Porto Velho,Urbana,Federal,,,,,,,0.0,9.1,69.7,21.2,0.0,0.0
2021,Norte,RO,Porto Velho,Urbana,Estadual,5.9,8.1,23.1,44.0,11.6,7.3,0.2,1.8,14.8,57.4,15.5,10.3
2021,Norte,RO,Porto Velho,Rural,Estadual,25.0,0.0,32.3,31.3,10.4,1.0,0.0,0.0,17.7,58.8,19.1,4.4
2021,Norte,RO,Porto Velho,Urbana,Municipal,34.2,9.3,39.6,11.4,1.6,3.9,,,,,,
2021,Norte,RO,Porto Velho,Rural,Municipal,37.5,17.5,22.5,14.6,4.3,3.6,,,,,,
2021,Norte,RO,Porto Velho,Urbana,Privada,18.8,18.7,32.0,22.4,4.4,3.7,1.3,4.1,28.8,49.4,8.8,7.6
2021,Norte,RO,Porto Velho,Rural,Privada,6.2,27.1,10.4,47.9,2.1,6.3,,,,,,
2021,Norte,RO,Porto Velho,Urbana,Publica,19.5,9.0,30.7,29.4,6.9,4.5,0.1,2.6,20.9,53.4,13.8,9.2
2021,Norte,RO,Porto Velho,Rural,Publica,34.6,13.4,25.0,18.2,5.8,3.0,0.0,0.0,17.7,58.8,19.1,4.4
2021,Norte,RO,Presidente Médici,Urbana,Estadual,27.8,2.5,16.5,48.1,1.3,3.8,0.0,1.5,1.4,82.6,5.8,8.7
2021,Norte,RO,Presidente Médici,Rural,Estadual,50.0,0.0,10.0,30.0,10.0,0.0,0.0,0.0,0.0,80.0,13.3,6.7
2021,Norte,RO,Presidente Médici,Urbana,Municipal,56.1,26.8,4.9,9.8,2.4,0.0,,,,,,
2021,Norte,RO,Presidente Médici,Rural,Municipal,64.0,16.0,0.0,16.0,0.0,4.0,,,,,,
2021,Norte,RO,Presidente Médici,Urbana,Publica,37.5,10.8,12.5,35.0,1.7,2.5,0.0,1.5,1.4,82.6,5.8,8.7
2021,Norte,RO,Presidente Médici,Rural,Publica,59.9,11.4,2.9,20.0,2.9,2.9,0.0,0.0,0.0,80.0,13.3,6.7
2021,Norte,RO,Rio Crespo,Urbana,Estadual,0.0,0.0,22.2,66.7,11.1,0.0,0.0,0.0,0.0,87.5,12.5,0.0
2021,Norte,RO,Rio Crespo,Urbana,Municipal,33.5,19.0,19.0,19.0,9.5,0.0,,,,,,
2021,Norte,RO,Rio Crespo,Urbana,Publica,24.1,13.8,20.7,34.5,6.9,0.0,0.0,0.0,0.0,87.5,12.5,0.0
2021,Norte,RO,Rolim de Moura,Urbana,Estadual,10.3,3.8,16.7,53.8,10.9,4.5,0.0,13.2,14.6,56.2,10.2,5.8
2021,Norte,RO,Rolim de Moura,Urbana,Municipal,72.8,11.0,11.8,3.7,0.0,0.7,,,,,,
2021,Norte,RO,Rolim de Moura,Rural,Municipal,42.5,0.0,32.5,22.5,2.5,0.0,,,,,,
2021,Norte,RO,Rolim de Moura,Urbana,Privada,34.2,2.6,31.6,26.3,5.3,0.0,5.0,0.0,45.0,40.0,10.0,0.0
2021,Norte,RO,Rolim de Moura,Urbana,Publica,39.6,7.2,14.4,30.6,5.8,2.4,0.0,13.2,14.6,56.2,10.2,5.8
2021,Norte,RO,Rolim de Moura,Rural,Publica,42.5,0.0,32.5,22.5,2.5,0.0,,,,,,
2021,Norte,RO,Santa Luzia D'Oeste,Urbana,Estadual,0.0,0.0,9.1,59.1,22.7,9.1,0.0,0.0,5.0,55.0,30.0,10.0
2021,Norte,RO,Santa Luzia D'Oeste,Urbana,Municipal,57.1,2.9,20.0,8.6,5.7,5.7,,,,,,
2021,Norte,RO,Santa Luzia D'Oeste,Urbana,Publica,36.9,1.9,16.7,29.6,9.3,5.6,0.0,0.0,5.0,55.0,30.0,10.0
2021,Norte,RO,Vilhena,Urbana,Federal,,,,,,,0.0,6.5,87.0,4.3,2.2,0.0
2021,Norte,RO,Vilhena,Urbana,Estadual,0.0,0.4,49.5,34.6,11.2,4.3,0.0,4.0,19.2,55.6,16.6,4.6
2021,Norte,RO,Vilhena,Rural,Estadual,14.3,0.0,50.0,35.7,0.0,0.0,0.0,0.0,44.4,55.6,0.0,0.0
2021,Norte,RO,Vilhena,Urbana,Municipal,40.6,33.7,16.1,7.3,2.3,0.0,,,,,,
2021,Norte,RO,Vilhena,Rural,Municipal,46.8,31.3,9.4,12.5,0.0,0.0,,,,,,
2021,Norte,RO,Vilhena,Urbana,Privada,17.4,7.5,35.0,23.8,12.5,3.8,0.0,12.2,29.3,34.1,14.6,9.8
2021,Norte,RO,Vilhena,Urbana,Publica,23.7,20.0,30.3,18.6,5.6,1.8,0.0,4.5,35.0,43.7,13.2,3.6
2021,Norte,RO,Vilhena,Rural,Publica,37.0,21.7,21.7,19.6,0.0,0.0,0.0,0.0,44.4,55.6,0.0,0.0
2021,Norte,RO,São Miguel do Guaporé,Urbana,Estadual,0.0,2.7,41.7,30.6,22.2,2.8,0.0,0.0,10.0,47.5,32.5,10.0
2021,Norte,RO,São Miguel do Guaporé,Urbana,Municipal,8.4,19.4,58.3,13.9,0.0,0.0,,,,,,
2021,Norte,RO,São Miguel do Guaporé,Rural,Municipal,10.3,4.2,29.2,50.0,0.0,6.3,,,,,,
2021,Norte,RO,São Miguel do Guaporé,Urbana,Privada,21.4,28.6,28.6,21.4,0.0,0.0,,,,,,
2021,Norte,RO,São Miguel do Guaporé,Urbana,Publica,4.2,11.1,50.0,22.2,11.1,1.4,0.0,0.0,10.0,47.5,32.5,10.0
2021,Norte,RO,São Miguel do Guaporé,Rural,Publica,10.3,4.2,29.2,50.0,0.0,6.3,,,,,,
2021,Norte,RO,Nova Mamoré,Urbana,Estadual,0.0,0.0,35.2,37.0,24.1,3.7,2.9,1.4,5.6,63.4,21.1,5.6
2021,Norte,RO,Nova Mamoré,Rural,Estadual,57.9,5.3,36.8,0.0,0.0,0.0,,,,,,
2021,Norte,RO,Nova Mamoré,Urbana,Municipal,40.4,26.3,17.5,12.3,3.5,0.0,,,,,,
2021,Norte,RO,Nova Mamoré,Rural,Municipal,20.6,33.3,19.2,19.2,5.1,2.6,,,,,,
2021,Norte,RO,Nova Mamoré,Urbana,Privada,16.7,0.0,50.0,25.0,8.3,0.0,,,,,,
2021,Norte,RO,Nova Mamoré,Urbana,Publica,21.1,13.8,26.6,23.9,12.8,1.8,2.9,1.4,5.6,63.4,21.1,5.6
