Fornecedor;idproduto;Nome do produto;Tipo de produto;Código de barras;Código interno;Agrupador;Imagem;Disponível;Url
Armazem Santa Maria;b2564716-eb7e-46b1-b2c8-7047e7b39326;SACA ROLHAS VIEL CABO PLASTICO;Simples;7896835291088;7896835291088|32610;32610;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/b2564716-eb7e-46b1-b2c8-7047e7b39326+59bda501-c545-4e44-85d4-f42bbff679a5
Armazem Santa Maria;f376856d-38ea-427e-84a5-de0427fe004e;PENEIRA 9CM;Simples;7896849405341;7896849405341|27016;27016;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/f376856d-38ea-427e-84a5-de0427fe004e+589903c4-93c1-427e-9482-c1e1ef53dec0
Armazem Santa Maria;b196146b-30aa-4310-b181-9e36549c4cc0;SABONETEIRA ALVES;Simples;7896849406423;7896849406423|36388;36388;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/b196146b-30aa-4310-b181-9e36549c4cc0+dd89fb76-000b-4579-979c-521bf38277f1
Armazem Santa Maria;cd0eefb6-a85b-496d-9723-770ab8dd3e2e;FUNIL PLAST GD N.5 ALVES;Simples;7896849406454;7896849406454|23469;23469;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/cd0eefb6-a85b-496d-9723-770ab8dd3e2e+3b720d01-6839-4f38-8e8b-3050efcdc698
Armazem Santa Maria;585a4f9e-19b1-41c5-b26f-a21e092646ae;MOLHO BASSI CEBOLA CARAM NESTLE 400G;Simples;7896860544586;7896860544586|34356;34356;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/585a4f9e-19b1-41c5-b26f-a21e092646ae+638d6277-eccd-49ab-b2c6-95a978ecdfd4
Armazem Santa Maria;7a94d725-5371-4b78-bbe4-4044d4a5c071;SAND DUPE TM GIRLS ROXO ORQ 7601 37/38;Simples;7896871203618;7896871203618|38671;38671;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/7a94d725-5371-4b78-bbe4-4044d4a5c071+c9a72130-3a53-4e99-b75c-c03dbb5724ed
Armazem Santa Maria;b5883d6e-3f76-4fa9-8793-d11fdd1d605f;SAND DUPE CHARME ROSA BALLET 0076 35/36;Simples;7896871206244;7896871206244|38553;38553;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/b5883d6e-3f76-4fa9-8793-d11fdd1d605f+73c9a4ff-45af-4524-bee7-0fda17d70677
Armazem Santa Maria;00541a4b-8e3c-406c-be72-15404e1fed04;SAND DUPE CHARME ROSA BALLET 0076 37/38;Simples;7896871206251;7896871206251|38552;38552;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/00541a4b-8e3c-406c-be72-15404e1fed04+fb08217f-3f31-485f-b083-03e3f89aef08
Armazem Santa Maria;d92f26b3-fa3c-4cf6-af34-cd9255c4cb8b;SAND DUPE TM CHARME VERD FOL 2715 33/34;Simples;7896871206282;7896871206282|38549;38549;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/d92f26b3-fa3c-4cf6-af34-cd9255c4cb8b+0982bcf5-9366-4ec3-9a6a-632d019acbc1
Armazem Santa Maria;91644e01-6f6d-4c48-a758-089a3d6f058f;SAND DUPE TM CHARME VERD FOL 2715 37/38;Simples;7896871206305;7896871206305|38550;38550;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/91644e01-6f6d-4c48-a758-089a3d6f058f+c248af3e-299e-445a-a4dd-9f446009f120
Armazem Santa Maria;f8aeba0c-841c-4de0-ab99-6518b10e59d9;SAND DUPE CHARME BORDO 3282 33/34;Simples;7896871206336;7896871206336|38608;38608;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/f8aeba0c-841c-4de0-ab99-6518b10e59d9+755de200-724f-4141-bbc9-e93d437095a3
Armazem Santa Maria;a191d019-6e4c-4db6-90b6-e73daf839fb8;SAND DUPE CHARME BORDO 3282 35/36;Simples;7896871206343;7896871206343|38572;38572;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/a191d019-6e4c-4db6-90b6-e73daf839fb8+710c9b5e-eaa7-4d2a-9e9f-b65d9ad9de54
